completion,prompt
S,"We're laser focused on cloud UX at @render, and product design underpins everything we do. The design org reports directly to me and I'm looking to expand the team with senior product designers. If you're interested (or know someone who might be), please send me a message or email at <firstname>@render.com. Cheers!"
A,"Personally, I don’t think follow up should ever be abbreviated as “fu” 😂🤣 This is a real email I just received (hiding the sender because I’m a nice person 🤦‍♂️)"
S,"Londoners: Papi's Pickles is b-b-bouncing back with a South Indian Summer Brunch menu on Sunday 5th September at the Omnibus Theatre in Clapham! Featuring an all star cast including, Sri Lankan Puttu, Mango Sothi, Devilled Coriander Paneer, Radish & Carrot Sambol and a dessert to make you gulp, Pistachio Kulfi w/ Strawberry Glaze. Get your tickets here: https://lnkd.in/gA9ASvzY #food #summer #events #eats"
A,"How did two Hult alumni receive a $54 million investment? 🤫 Read all about refurbed and its journey from #Hult to Forbes 30 under 30 Europe, to receiving $54 million in Series B funding! ⤵️ https://bit.ly/3mcz7KV #businessschool #studentlife #entrepreneur #startup #successstory #forbes30under30"
C,#Appointment: Kavi Vyas has 15 years of experience in medtech and most recently served as VP Marketing at Viz.ai. theator
A,"“Sophisticated retailers are manipulating prices and promotions with surgical precision. In order to remain competitive, retailers must track their competition with a level of granularity and recency that has never been available before,” Ben Reich, founder and CEO of Datasembly told WGB. “This partnership unlocks the full picture of promotions and TPRs so that a grocery retailer can adjust their promotions in response to hyperlocal competition.” To learn more about what Datasembly does for the Retail and CPG industries, click here: www.Datasembly.com https://lnkd.in/g7GCW3z #cpgindustry #groceryindustry #groceryretail #grocery #cpgmarketing #cpgbusiness"
S,"Aledade, Inc. is #hiring a Head of Network Development - Physician sales. This is a mission-critical leadership role on our growth team, who will own meaningful parts of our go-to-market strategy and execution. Tremendous opportunity to be a part of something truly transformative in the otherwise slow-moving world of healthcare. Come join us!"
S,Benjamin Pettigrew surprised me today by inviting all of his classmates to help him fund a Sprouts Chef-in-Training intern. He's now offering to match YOUR donation. With your help he will sponsor a female chef just like Fayth - who just earned her Chef Certificate! Would mean a lot to have your support. You can send your donation to our venmo @sproutscc.
S,"Dorchester County, SC adds cooperative language to all their solicitations by including a ‘Utilization by Other Public Agencies Clause’. This simple clause supports local vendors and suppliers by making it easier for more agencies in their region to piggyback off their solicitations and work with those same suppliers.  Next Thursday, John D. Tigert, MPA, CPPB, Purchasing Manager with Dorchester County will share a free Orientation to Cooperative Purchasing! During this training, he’ll share the specific language his agency adds to their solicitations, as well as important best practices and tips you can employ when using cooperative contracts. Register today! https://lnkd.in/gp3nZna"
C,"I'm loving it at Section4. Join us in transforming business edu! section4.com/careers I joined because I was floored their progress towards and commitment to building the effective, engaged, and inclusive place we all want to work at. Even at such an early (post Series A) phase!"
C,"YES! Thrilled to see Maven Clinic announce their latest round of funding at a $1B valuation. Welcome to 2021, where women's health is on the map. // Lauren Cucinotta, Jannine Versi, Kate Ryder, Oprah Winfrey"
S,"I'm doing an experiment of reading/rereading 1 book a day for 7+ days starting Aug 19. Looking for short, impactful books (see pic for examples). Recs appreciated. I'll share the list before & thoughts after. Join me in reading. Vote on full list here: https://lnkd.in/edF7Aw7S"
C,"I'm excited to share that I'm a fellow in On Deck's second Chief of Staff fellowship! So far #ODCoS2 has introduced me to a community of smart and thoughtful people who are all in the same boat (pun very much intended). I'm so thankful for this group of thinkers, doers, and strategists to learn from and I can't wait to see what's to come."
C,"Had the good fortune to be featured in Technical.ly Philly's ""Power Moves"" section. Thanks Paige Gross for the opportunity! https://lnkd.in/eerJkgMM"
A,"Featured in the San Francisco Chronicle, Miles Taylor, a rising senior in Penn Arts & Sciences, University of Pennsylvania, has set a record, riding the entire Bay Area Rapid Transit system in six hours."
A,So proud to share this
C,"It's no longer a secret that Israel's 10th President Reuven Rivlin has decided to join ElectReon as our company president. It is with great pleasure we welcome Mr Reuven “Ruvi” Rivlin to us in our mission to fight #climatechange by upgrading our global road transport system to make #electricvehicles and #evcharginginfrastructure more cost-effective and accessible to all through our proven #breakthroughtechnology that #wirelesslycharges #electricvehicles in any mode, even as they drive with our #smartorads. ""After the pleasure of serving the people of Israel for the last seven years, I have decided to continue focusing on one of the world’s most critical issues: the conservation of our planet,” said Rivlin. “With ElectReon there is an incredible opportunity to decarbonize the transportation sector by growing a network of electrified roadways that will make EV ownership more attainable.” #sustainability #effective #mobility #protectourplanet #electrictransport Ruvi pictured below with oren ezer at the @Electreon HQs."
S,"Unit21 is hosting How  Rob Decampos, Head of BSA/AML at Intuit, Scales Compliance Operations. Come learn from the largest companies on how things change as you scale!"
S,"I am looking for a dynamic Leader of Global Planning for Specialized. I am targeting someone who has a global perspective, is passionate about the outdoor industry/cycling, and someone who can take us to the next level in planning. We are open to Morgan Hill or in the EU."
A,"Being turned down for a role hurts, but don't let it define or discourage you. Learn from it, but don't dwell on it. Brighter days are ahead. . . . Early in my career, I was turned down by two FAANG companies. It stung, especially when I saw some of my classmates getting hired by these tech giants. I persisted and eventually landed at a small tech company focused on government contracting. Although I loved the variety of projects that I had the opportunity to participate in and enjoyed using tech to help people, I felt that I wasn't good enough because a tech giant didn't hire me. Flash forward to today. I've transitioned into engineering leadership and am responsible for cultivating the next generation of engineering leaders. I do cutting-edge work that positively impacts people's lives in meaningful ways. It took me years to figure it out, but I eventually realized that I love working in smaller companies that allow me to wear different hats and have a diversity of tasks. I love what I do and would never trade these opportunities. To the future rockstars out there who are just a few months out of college or boot camp, keep grinding, building, and learning. Opportunities will come as long as you persist. You are worth more than a job. #engineeringleadership #motivationfriday"
S,"We are looking for a product manager at Immuta to lead our new SaaS platform. If you are passionate about the new data stack (Databricks, dbt Labs, Hightouch, Snowflake, etc.) & data engineering tools, have experience building B2B SaaS products, and PLG background, please reach out 😊 You will be working with an amazing PM team 🤩 Bala Muthukaruppan Colin Gurney Dan Wu Deborah Bitzan Jeff Dolatshahi Matthew DiAntonio Zachary Friedman"
S,What's your favorite design or user experience podcast? would love your reccs Luke Patton Julie Williams Nicki Adler Amanda Sol Peralta
C,I'm thrilled to co-chair the ML Performance and Real World Applications tutorial this Sunday at Hot Chips. We have an exciting line-up of ML experts including Paulius Micikevicius Peter Mattson Dr. Mario Michael Krell Guokai Ma Carole-Jean Wu Niket Agarwal George Karypis Samyam Rajbhandari Yuxiong He find out more here:
A,"“Enjoy the little things in life, for one day you will look back and realise they were the big things.” With so much turmoil in the world right now, I’ve been reflecting on how we can lean into sharing kindness, changing systems, and making the world a better place, while still savouring the small moments of joy that help to keep us energised. Thanks Bain & Company for creating some of those small moments. How are you staying energised to get through these times and tackle the bigger issues around us?"
C,"More than a decade ago, a group of engineering students and friends started working around the idea of building a social marketplace. Back then, most people were afraid of buying things over the internet. Our thinking was that the “social distance” in the social graph could have been leveraged as a relevant indicator of trust, to eventually facilitate transactions. The marketplace never took off, but some of us continued running experiments around our merchant’s feedback, until we managed to understand that some of them wanted more personalization and control around their digital presence. After some prototyping, ""Nuvemshop | Tiendanube"" was born as a simple platform to help merchants build an online store, and to help them connect directly with their consumers. Ten years into the future, we are seeing D2C happen at a massive pace all over the world, and Nuvemshop has become the go-to platform for LATAM merchants to be successful. We have been privileged enough to partner with an amazing group of people: merchants, partners, advisors, investors, and team, and we now have even more resources to continue building infrastructure for the decade to come. The essence remains unchanged: to help everyone out there to convert passion projects into thriving businesses."
A,"Caring for myself is not self-indulgence. It is self-preservation, and that is an act of political warfare. ~Audre Lorde wrote in A Burst of Light"" and Other Essays. I am on vacation until 9/8. I hope that y’all are also finding time for rest, reflection and renewal. Solidarity, wellness and safety, Desiree"
C,"I was delighted to receive a care package from the Coding it Forward fellowship, thanking me for mentoring and advising our country's next generation of civic technologists. The gesture is highly appreciated though wholly unnecessary since helping the fellows out was my pleasure and privilege. It is ironic that the fellows asked me for career advice, since the truth is that I wouldn't even be a competitive applicant for an internship as prestigious as Coding it Forward when I was in college. As fellows, these students have earned the privilege of being deliberate and thoughtful about their career path in ways that I never was, and I felt they deserved to know that. I highlighted my career trajectory so that they could avoid my mistakes and propel themselves only towards the success they deserve. Most of all, I wanted them to know that the pursuit of good, honest work that you can be proud of is always worth it. I'm honored to have played a small part in this summer cohort's story, and I look forward to seeing what they accomplish next."
A,"Team #Snorkel keeps growing! Meet Alexis Zumwalt, our federal strategy and growth director, who enjoys American history, loves chickens and sports. Learn more about Alexis ↓"
S,"Great opportunities to join the Walmart ecommerce Defect Reduction team and make a massive impact. If you’re curious, persistent and excited by new challenges, one of these roles may be perfect for you! https://lnkd.in/eQGE-KUq https://lnkd.in/etTkGsgn #hiring #ecommerce #growth"
A,"If there’s something important missing in your work, if you’re afraid of the uncertainty that comes with a big change, if you’re feeling a little lost and unsure of where to start — this post is for you.  #careerjourney #career #coaching"
